"line","trait_value","trait","reference"
861,1.225777903,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
879,1.38269854,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
882,1.62465859,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
884,1.162620049,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
887,1.255510228,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
890,1.228286464,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
892,0.814192543,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
894,1.131359249,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
897,1.513061199,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
900,0.841591592,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
907,1.774673644,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
908,1.726725733,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
911,1.248433726,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
913,2.194081569,"ethanol.sensitivity.tolerance.F","Morozova el al. (2015) BMC Genomics"
21,0.793693651,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
26,0.124588506,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
28,1.255171488,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
31,1.283477704,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
32,-0.112159545,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
38,0.846282395,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
40,1.025048925,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
41,0.406223475,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
42,1.768138308,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
45,0.910262176,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
48,0.742845008,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
49,1.262985986,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
57,0.896691711,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
59,2.010709139,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
69,1.044349086,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
73,1.092306166,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
75,1.076682554,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
83,0.81678732,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
85,0.820358178,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
88,0.787905647,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
91,1.007299702,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
93,0.72716634,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
