"block","line","early.male.rival","early.male.focal","num.GFP.males","num.DGRP.males","late.male.rival","late.male.focal","num.laying.F.early","female.fitness.early","num.F.late1","num.F.late2","female.fitness.late","male.fitness.early","male.fitness.late","male.fitness.total","female.fitness.total"
"A3","350",32,54,8,2,47,23,5,42,2,2,1,0.627906976744186,0.328571428571429,0.478239202657807,21.5
"A3","350",59,13,2,3,17,13,5,141,4,4,0,0.180555555555556,0.433333333333333,0.306944444444444,70.5
"A3","350",54,40,4,4,28,36,4,89,2,1,3,0.425531914893617,0.5625,0.494015957446808,46
"C3","356",32,19,2,3,4,0,4,46,1,1,0,0.372549019607843,0,0.186274509803922,23
"C3","356",33,35,6,3,9,15,4,63,2,2,3,0.514705882352941,0.625,0.569852941176471,33
"C3","356",50,27,6,5,0,1,4,46,2,1,0,0.350649350649351,1,0.675324675324675,23
"C3","356",15,15,0,2,NA,10,5,60,5,1,0,0.5,NA,NA,30
"C3","356",14,16,5,2,4,0,5,162,0,NA,NA,0.533333333333333,0,0.266666666666667,NA
"C3","356",42,35,4,1,0,0,5,87,3,2,5,0.454545454545455,NA,NA,46
"A4","357",31,38,5,0,NA,NA,5,49,3,3,6,0.550724637681159,NA,NA,27.5
"A4","357",36,20,6,1,0,1,5,122,1,1,0,0.357142857142857,1,0.678571428571429,61
"A4","357",24,37,8,2,1,1,5,108,2,2,0,0.60655737704918,0.5,0.55327868852459,54
"A4","357",37,26,7,3,5,1,5,116,1,1,7,0.412698412698413,0.166666666666667,0.28968253968254,61.5
"A4","357",6,1,6,2,19,0,4,87,1,1,13,0.142857142857143,0,0.0714285714285714,50
"A4","357",19,4,9,4,0,0,5,99,1,1,13,0.173913043478261,NA,NA,56
"A2","360",105,76,10,1,96,97,2,36,2,2,29,0.419889502762431,0.50259067357513,0.46124008816878,32.5
"A2","360",146,9,7,3,89,80,4,53,4,3,39,0.0580645161290323,0.473372781065089,0.265718648597061,46
"A2","360",51,46,7,0,100,0,5,69,5,4,7,0.474226804123711,0,0.237113402061856,38
"A2","360",77,64,7,0,100,0,5,114,3,4,6,0.453900709219858,0,0.226950354609929,60
"A2","360",82,71,7,2,101,78,5,94,5,5,40,0.464052287581699,0.435754189944134,0.449903238762917,67
"A2","360",56,68,7,2,152,85,4,82,4,3,28,0.548387096774194,0.358649789029536,0.453518442901865,55
"A2","361",81,75,8,4,44,105,5,58,3,3,36,0.480769230769231,0.704697986577181,0.592733608673206,47
"A2","361",159,38,8,4,48,109,5,97,4,4,30,0.192893401015228,0.694267515923567,0.443580458469398,63.5
"A2","361",28,52,2,3,28,110,4,76,5,5,16,0.65,0.797101449275362,0.723550724637681,46
"A2","361",46,27,7,0,100,0,4,91,2,2,21,0.36986301369863,0,0.184931506849315,56
"A2","361",23,115,9,5,52,98,5,87,4,4,19,0.833333333333333,0.653333333333333,0.743333333333333,53
"A2","361",24,26,8,5,66,128,3,46,3,1,0,0.52,0.65979381443299,0.589896907216495,23
"B3","361",60,31,4,3,1,0,5,110,1,1,1,0.340659340659341,0,0.17032967032967,55.5
"B3","361",60,12,5,3,0,0,5,99,3,3,1,0.166666666666667,NA,NA,50
"B3","361",45,26,9,4,0,1,5,52,2,2,11,0.366197183098592,1,0.683098591549296,31.5
"B3","361",61,50,6,3,3,0,5,92,5,4,0,0.45045045045045,0,0.225225225225225,46
"B3","361",60,18,5,3,11,0,5,85,4,4,7,0.230769230769231,0,0.115384615384615,46
