block,line,early.male.rival,early.male.focal,late.male.rival,late.male.focal,num.GFP.males,num.DGRP.males
A4,832,54,5,1,0,4,1
A4,832,33,25,0,0,8,3
B2,837,0,200,50,0,2,0
B2,837,89,0,50,0,1,0
B2,837,144,53,71,53,6,2
B2,837,120,54,56,44,7,1
B2,837,107,23,100,29,6,2
B2,837,133,38,89,51,4,1
B2,843,175,72,128,31,10,4
B2,843,62,41,78,71,9,3
B2,843,117,91,70,63,6,3
B2,843,81,49,35,37,5,5
B2,843,117,57,38,37,2,5
B2,843,86,46,79,39,9,5
C3,850,12,3,2,1,6,4
C3,850,17,7,22,8,9,5
C3,850,7,7,1,5,7,4
C3,850,3,22,0,0,7,5
C3,850,3,14,0,0,9,3
C3,850,3,4,21,10,5,5
B3,852,45,38,46,0,9,1
B3,852,31,52,0,0,8,3
B3,852,66,21,0,1,8,4
B3,852,42,17,3,0,9,3
B3,852,36,29,16,0,8,2
B3,852,62,18,24,23,7,3
B2,853,67,68,174,54,8,1
B2,853,114,77,58,37,5,2
B2,853,56,112,65,100,5,3
B2,853,53,88,25,15,8,2
B2,853,103,64,61,22,9,3
B2,853,116,36,62,22,5,3
B3,859,14,51,17,0,6,4
B3,859,42,62,1,0,5,2
B3,859,42,65,12,0,5,2
B3,859,26,53,0,0,6,4
B3,859,52,43,3,1,2,2
B3,859,30,18,2,1,4,3
B2,879,106,53,193,74,7,3
B2,879,111,46,118,23,7,2
B2,879,176,56,52,50,6,5
B2,879,131,45,75,22,9,4
B2,879,174,86,81,64,7,5
B2,879,129,68,42,19,6,5
B1,882,4,77,4,32,12,NA
B1,882,27,55,0,2,10,NA
B1,882,6,115,0,0,9,NA
B1,882,4,149,7,1,10,NA
B1,882,143,53,9,0,7,NA
B1,882,85,82,47,12,14,NA
B3,882,59,27,0,0,4,3
B3,882,37,9,0,0,5,4
B3,882,76,40,79,0,8,2
B3,882,64,6,9,0,6,4
B3,882,19,15,1,0,4,3
B3,882,44,24,3,0,2,3
B3,897,29,57,72,0,6,2
B3,897,41,63,0,0,7,2
B3,897,45,36,4,1,6,2
B3,897,24,42,50,0,3,0
B3,897,29,26,50,0,4,0
B3,897,17,28,6,1,8,1
C3,900,33,21,3,29,7,4
C3,900,5,7,6,22,5,2
C3,900,10,11,0,12,10,5
C3,900,4,12,29,7,7,5
C3,900,4,47,7,11,7,4
C3,900,8,25,0,1,7,4
B2,907,92,83,137,27,10,2
B2,907,123,79,201,49,8,1
B2,907,111,75,89,63,7,1
B2,907,106,70,36,15,8,3
B2,907,91,95,83,31,7,1
B2,907,134,135,107,57,7,1
B3,908,12,73,25,0,6,4
B3,908,36,70,13,0,5,2
B3,908,30,36,0,0,6,2
B3,908,16,56,2,0,5,5
B3,908,26,25,2,0,7,2
B3,908,23,13,3,0,6,2
A3,91,77,14,50,0,6,0
A3,91,45,43,50,0,4,0
A3,91,54,38,50,0,5,0
A3,91,80,39,24,39,6,3
A3,91,44,28,29,3,3,5
A3,91,18,58,37,35,7,4
B2,913,94,108,60,88,5,3
B2,913,48,148,91,101,6,5
B2,913,101,115,19,53,8,2
B2,913,48,130,69,82,9,5
B2,913,26,148,65,66,7,5
B2,913,32,108,38,38,10,3
B3,93,19,62,2,4,9,5
B3,93,52,143,3,6,1,4
B3,93,25,33,10,17,8,4
B3,93,4,50,2,15,8,5
B3,93,21,26,3,3,8,4
B3,93,31,23,26,12,9,4
E1,32,33,12,26,14,10,2
E1,32,23,9,25,20,10,4
E1,32,39,17,48,28,7,3
E1,32,48,21,26,11,8,2
E1,32,64,35,38,15,8,3
E1,32,76,16,22,20,6,5
E1,109,51,32,39,37,9,4
E1,109,92,54,16,18,7,4
E1,109,54,21,19,8,10,5
E1,109,81,31,16,9,9,5
E1,109,65,79,37,24,9,5
E1,109,40,16,20,14,9,5
E1,158,119,32,36,27,6,3
E1,158,68,11,61,19,9,3
E1,158,148,33,99,48,9,1
E1,158,56,14,63,9,9,3
E1,158,115,18,58,14,8,4
E1,158,51,9,21,16,5,3
E1,161,92,24,36,8,9,4
E1,161,28,41,27,16,10,5
E1,161,54,30,37,19,5,3
E1,161,63,7,33,27,10,4
E1,161,69,14,41,13,8,3
E1,161,35,19,17,8,8,5
E1,319,70,7,23,16,8,5
E1,319,32,65,30,32,8,4
E1,319,44,4,40,28,9,5
E1,319,78,24,26,7,10,2
E1,319,109,32,27,3,9,2
E1,319,85,33,37,25,6,4
E1,309,43,33,75,28,7,5
E1,309,47,30,24,15,4,5
E1,309,58,0,18,5,9,3
E1,309,54,16,9,8,10,4
E1,309,52,15,20,4,10,5
E1,309,68,0,16,17,7,3
E1,397,73,10,21,22,10,5
E1,397,60,22,89,5,9,4
E1,397,64,12,22,0,8,5
E1,397,52,14,39,17,7,4
E1,397,58,12,51,12,11,5
E1,397,59,14,38,38,8,5
E1,461,82,22,38,7,8,3
E1,461,79,37,5,4,8,4
E1,461,83,11,50,7,7,3
E1,461,73,29,34,8,7,5
E1,461,55,15,42,12,5,3
E1,461,78,17,13,15,9,5
E1,352,47,20,11,7,9,4
E1,352,14,6,23,3,5,1
E1,352,60,9,0,0,0,3
E1,352,66,6,57,15,6,5
E1,352,66,66,11,14,10,3
E1,352,85,36,17,13,7,2
E1,911,22,44,29,4,8,1
